Venue,Number
New Wanderers Stadium,0
Sawai Mansingh Stadium,1
Eden Gardens,2
Subrata Roy Sahara Stadium,3
M Chinnaswamy Stadium,4
"MA Chidambaram Stadium, Chepauk",5
Wankhede Stadium,6
Saurashtra Cricket Association Stadium,7
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,8
Feroz Shah Kotla,9
Shaheed Veer Narayan Singh International Stadium,10
"Rajiv Gandhi International Stadium, Uppal",11
"Sardar Patel Stadium, Motera",12
Brabourne Stadium,13
Dr DY Patil Sports Academy,14
Kingsmead,15
"Punjab Cricket Association IS Bindra Stadium, Mohali",16
Sharjah Cricket Stadium,17
Dubai International Cricket Stadium,18
Maharashtra Cricket Association Stadium,19
JSCA International Stadium Complex,20
"Punjab Cricket Association Stadium, Mohali",21
Green Park,22
Nehru Stadium,23
Barabati Stadium,24
De Beers Diamond Oval,25
SuperSport Park,26
Sheikh Zayed Stadium,27
St George's Park,28
Himachal Pradesh Cricket Association Stadium,29
"Vidarbha Cricket Association Stadium, Jamtha",30
Buffalo Park,31
Newlands,32
Holkar Cricket Stadium,33
OUTsurance Oval,34
