batord_team1,batord_team2,bowlord_team1,bowlord_team2
PP Shaw,SA Yadav,PP Shaw,SA Yadav
GJ Maxwell,E Lewis,GJ Maxwell,E Lewis
SS Iyer,Ishan Kishan,SS Iyer,Ishan Kishan
RR Pant,KA Pollard,RR Pant,KA Pollard
V Shankar,R Sharma,V Shankar,R Sharma
Abhishek Sharma,KH Pandya,Abhishek Sharma,KH Pandya
HV Patel,HH Pandya,HV Patel,HH Pandya
A Mishra,BCJ Cutting,A Mishra,BCJ Cutting
LE Plunkett,M Markande,LE Plunkett,M Markande
S Lamichhane,JJ Bumrah,S Lamichhane,JJ Bumrah
TA Boult,Mustafizur Rahman,TA Boult,Mustafizur Rahman
